Codigo da Area,Residentes,Homens Residentes,Mulheres Residentes
090,2933,1434,1499
340,1705,862,843
410,4618,2312,2306
850,4826,2357,2469
851,2785,1397,1388
852,6739,3043,3696
853,7810,3778,4032
260,3470,1699,1771
261,2703,1343,1360
262,3160,1522,1638
263,2839,1413,1426
030,3450,1648,1802
031,1801,903,898
360,4606,2266,2340
361,2998,1465,1533
980,3189,1539,1650
981,4047,2021,2026
330,2518,1228,1290
331,2862,1403,1459
332,1140,494,646
333,2360,1181,1179
334,2903,1400,1503
335,2503,1260,1243
310,3560,1743,1817
311,4029,1877,2152
312,4578,2274,2304
420,3904,1939,1965
421,5517,2714,2803
422,3754,1908,1846
290,3291,1663,1628
291,4446,2197,2249
220,2715,1336,1379
350,2959,1479,1480
130,2266,1090,1176
131,2151,1053,1098
132,2422,1179,1243
370,4354,2169,2185
230,3583,1766,1817
160,5388,2724,2664
161,2014,986,1028
250,2818,1374,1444
251,2882,1405,1477
100,3899,1905,1994
120,2036,989,1047
121,4438,2004,2434
122,2894,1356,1538
040,1935,975,960
041,3096,1546,1550
042,2615,1239,1376
043,3093,1481,1612
044,2907,1464,1443
470,2511,1230,1281
471,2741,1324,1417
472,2635,1275,1360
390,7230,3569,3661
320,2675,1302,1373
321,2995,1473,1522
010,5519,2551,2968
190,3835,1844,1991
191,8204,3857,4347
192,4355,2157,2198
431,3764,1846,1918
432,4292,2088,2204
433,3836,1827,2009
434,4535,2197,2338
435,4587,2205,2382
436,3934,1902,2032
780,4233,2097,2136
781,5519,2708,2811
080,3755,1722,2033
081,3316,1470,1846
082,3172,1452,1720
300,3257,1654,1603
301,2616,1289,1327
302,4152,2042,2110
460,816,425,391
170,6368,3090,3278
171,7177,3550,3627
600,4265,1912,2353
601,4120,1896,2224
602,5233,2382,2851
940,3624,1712,1912
941,4377,2048,2329
070,2800,1349,1451
071,2568,1261,1307
072,2783,1292,1491
950,11674,5308,6366
951,15153,6701,8452
952,8135,3434,4701
270,3756,1815,1941
271,4589,2281,2308
060,2237,1102,1135
061,4418,2092,2326
062,2834,1340,1494
450,3615,1820,1795
380,5233,2513,2720
381,4173,2004,2169
382,4082,2033,2049
383,3188,1561,1627
280,4631,2254,2377
281,5160,2561,2599
200,1702,844,858
400,3231,1571,1660
401,2519,1259,1260
440,3189,1648,1541
441,2910,1445,1465
020,3780,1702,2078
021,3785,1759,2026
240,2831,1383,1448
241,976,480,496
210,4723,2290,2433
690,5685,2726,2959
691,3266,1610,1656
692,3862,2251,1611
693,4459,2109,2350
570,3809,1737,2072
571,2348,1102,1246
572,4024,1926,2098
